item_id,item_name,item_description,delivery_price,instore_price,tax_rate,allergens,calories,hfss,max_quantity,age_restricted,plu,barcodes,ian,classifications,replacement_eligible,substitution_eligible,internal_name,dietary_information,returnable,irish_drs_deposit_fee,irish_drs_items_per_pack
278a4f1e-5bbf-4ab7-a934-647424151065,Valmoissine Pinot Noir Louis Latour 2022,Arp.,24.95,,0,,,false,,false,,,,,true,true,Valmoissine Pinot Noir Louis Latour 2022,,,,
224c174c-ea12-4a9b-badb-373f5c928667,Veuve Clicquot Brut,Arp.,65,,0,,,false,,false,,,,,true,true,Veuve Clicquot Brut,,,,
bc3c5913-5990-44c0-8717-488c4613fecb,Victor Berard Châteauneuf-du-pape 2024,Arp.,34.9,,0,,,false,,false,,,,,true,true,Victor Berard Châteauneuf-du-pape 2024,,,,
a744eb4c-ce0b-4378-9444-f3cc351999bc,Viore Verdejo Sobre Lias 2022,Arp.,19.99,,0,,,false,,false,,,,,true,true,Viore Verdejo Sobre Lias 2022,,,,
97d43c42-be96-4884-8d81-99487c13d95b,Whispering Angel Rosé,Arp.,27.99,,0,,,false,,false,,,,,true,true,Whispering Angel Rosé,,,,
af67a2d2-dd16-4708-ae4d-59e35a9af599,Wicklow Wolf Beer,Arp.,3.95,,0,,,false,,true,,,,,true,true,Wicklow Wolf Beer,,,15,
2031f79a-2417-4edc-a998-cb0ea3469215,William Lawson's Blended Scotch Whisky,Arp.,31.5,,0,,,false,,true,,,,,true,true,William Lawson's Blended Scotch Whisky,,,,
c4ff671c-80bf-445c-83c4-ce88b8fa52ba,Woodford Reserve Kentucky Straight Bourbon Whiskey,Arp.,58,,0,,,false,,true,,,,,true,true,Woodford Reserve Kentucky Straight Bourbon Whiskey,,,,
c1e92122-e287-4848-8085-9f9bc12f3523,Writer's Tears Copper Pot,Arp.,42,,0,,,false,,true,,,,,true,true,Writer's Tears Copper Pot,,,,
fe484cad-7682-4d59-8003-d5a838fa8890,Writer's Tears Double Oak,Arp.,62,,0,,,false,,true,,,,,true,true,Writer's Tears Double Oak,,,,
83f03f46-581a-4a0f-bc74-c3122dd8a98f,Writer's Tears Red Head,Arp.,76,,0,,,false,,true,,,,,true,true,Writer's Tears Red Head,,,,
81933cb3-fd8d-4440-9398-5c539e261a50,Yellow Spot Single Pot Still Irish Whiskey,Arp.,95.95,,0,,,false,,true,,,,,true,true,Yellow Spot Single Pot Still Irish Whiskey,,,,
fc049d47-cec6-4b8c-949a-b0b039eb8946,Ébano 6 Ribera Del Duero,Arp.,25.9,,0,,,false,,false,,,,,true,true,Ébano 6 Ribera Del Duero,,,,
