Name,Category,Price,Description,Country,Region,Producer,Wine Type,Spirit Type,Beer Style,ABV,Volume (ml)
Integral 3 Unfiltered,Wine,19.95,,Spain,Priorat,Integral,Rosé,,,14.5,750
Corte delle Calli Rosé Spumante,Wine,22.95,,Italy,Veneto,Corte delle Calli,Prosecco,,,11.5,750
Les Cerisiers Côtes du Rhône Rosé,Wine,18,,France,Rhône,Les Cerisiers,Rosé,,,13,750
Boutinot Mal.bek Rosé,Wine,18.99,,France,South West France,Boutinot,Rosé,,,13,750
Bargemone Rosé,Wine,18.99,,France,Provence,Château de Bargemone,Rosé,,,12.5,750
Plaimont Colombelle Tannat Cabernet Sauvignon,Wine,16.95,,France,South West France,Plaimont,Red,,,13.5,750
Hans Baer Riesling Trocken,Wine,16.95,,Germany,Rheingau,Hans Baer,White,,,12,750
Salisbury 1848 Chardonnay 2024,Wine,24.95,,Australia,Victoria,Salisbury 1848,White,,,13.5,750
Lafage Miraflors Red,Wine,14.95,,France,Roussillon,Lafage,Red,,,13.5,750
Lafage Miraflors Rosé,Wine,14.95,,France,Roussillon,Lafage,Rosé,,,13,750
Lafage Miraflors Blanc,Wine,14.95,,France,Roussillon,Lafage,White,,,13,750
Faustino V Reserva,Wine,18.95,,Spain,Rioja,Bodegas Faustino,Red,,,13.5,750
Faustino VII Tempranillo,Wine,12.95,,Spain,Rioja,Bodegas Faustino,Red,,,13,750
Faustino VII Blanco,Wine,12.95,,Spain,Rioja,Bodegas Faustino,White,,,13,750
3 Wooly Sheep Sauvignon Blanc,Wine,20.99,,New Zealand,Marlborough,3 Wooly Sheep,White,,,13,750
Bread & Butter Chardonnay 2023,Wine,26.95,,USA,California,Bread & Butter,White,,,13.5,750
Bread & Butter Pinot Noir 2023,Wine,26.95,,USA,California,Bread & Butter,Red,,,14,750
Lagar de Besada Albariño,Wine,19.95,,Spain,Rías Baixas,Lagar de Besada,White,,,12.5,750
Viore Verdejo Sobre Lias 2022,Wine,19.99,,Spain,Rueda,Viore,White,,,13,750
Picpoul de Pinet Domaine de la Madone 2023,Wine,18.5,,France,Languedoc,Domaine de la Madone,White,,,12,750
Protos Verdejo 2024,Wine,21.5,,Spain,Rueda,Protos,White,,,13,750
Corazón de Lolita Premium Coupage,Wine,19.95,,Spain,La Mancha,Corazón de Lolita,Red,,,13.5,750
Barahonda Organic Monastrell–Merlot 2018,Wine,23.99,,Spain,Yecla,Barahonda,Red,,,14,750
Pasqua Morago Appassite,Wine,16.99,,Italy,Veneto,Pasqua,Red,,,13.5,750
Pasqua ZIN Primitivo,Wine,16.95,,Italy,Puglia,Pasqua,Red,,,14,750
Geyerhof Stockwerk Zweigelt,Wine,24.99,,Austria,Wachau,Geyerhof,Red,,,13,750
Geyerhof Stockwerk Grüner Veltliner,Wine,25,,Austria,Wachau,Geyerhof,White,,,12.5,750
Assyrtiko Papagiannakos,Wine,25,,Greece,Attica,Papagiannakos,White,,,13,750
"Domaine Gueneau Sancerre ""La Guiberte"" 2024",Wine,30.95,,France,Loire,Domaine Gueneau,White,,,13,750
Rupert & Rothschild Baroness Nadine Chardonnay 2023,Wine,40,,South Africa,Franschhoek,Rupert & Rothschild,White,,,13.5,750
Grand Veneur Côtes du Rhône 2023,Wine,18.99,,France,Rhône,Grand Veneur,Red,,,13.5,750
Valmoissine Pinot Noir Louis Latour 2022,Wine,24.95,,France,Provence,Louis Latour,Red,,,13.5,750
Castello di Albola Chianti Classico,Wine,24.95,,Italy,Tuscany,Castello di Albola,Red,,,13.5,750
Bertani Valpolicella Ripasso,Wine,26.94,,Italy,Veneto,Bertani,Red,,,13.5,750
Crozes-Hermitage Delas 2022,Wine,27.95,,France,Rhône,Delas Frères,Red,,,13,750
Louis Jadot Mâcon-Lugny 2023,Wine,29.95,,France,Burgundy,Louis Jadot,White,,,13,750
Sancerre 2023,Wine,27.95,,France,Loire,Sancerre,White,,,13,750
Whispering Angel Rosé,Wine,27.99,,France,Provence,Château d'Esclans,Rosé,,,12.5,750
Fin del Mundo Malbec 2022,Wine,22.5,,Argentina,Patagonia,Bodega del Fin del Mundo,Red,,,13.5,750
Portillo Malbec 2022,Wine,22.5,,Argentina,Mendoza,Portillo,Red,,,13.5,750
Terrazas de los Andes Chardonnay 2024,Wine,22.9,,Argentina,Mendoza,Terrazas de los Andes,White,,,13.5,750
Terrazas de los Andes Malbec 2022,Wine,24,,Argentina,Mendoza,Terrazas de los Andes,Red,,,13.5,750
Esporão Reserva Tinto Organic 2022,Wine,29.95,,Portugal,Alentejo,Herdade do Esporão,Red,,,13.5,750
Ébano 6 Ribera del Duero,Wine,25.9,,Spain,Ribera del Duero,Ébano 6,Red,,,14,750
Lolo Albariño,Wine,21.5,,Spain,Rías Baixas,Lolo,White,,,12.5,750
Rioja Vega Crianza 2021,Wine,19.99,,Spain,Rioja,Rioja Vega,Red,,,13,750
Conde Valdemar Rioja Crianza Reserva 2017,Wine,27.95,,Spain,Rioja,Conde Valdemar,Red,,,13.5,750
Château Tour de Perrigal Bordeaux Supérieur 2021,Wine,25.99,,France,Bordeaux,Château Tour de Perrigal,Red,,,13,750
Faustino I Gran Reserva 2015,Wine,32.5,,Spain,Rioja,Bodegas Faustino,Red,,,13.5,750
Vale D. Maria Douro Superior 2022,Wine,32.5,,Portugal,Douro,Vale D. Maria,Red,,,13.5,750
Rupert & Rothschild Classique 2009,Wine,35,,South Africa,Franschhoek,Rupert & Rothschild,Red,,,14,750
Piedra Negra Malbec Alta Colección 2024,Wine,39,,Argentina,Mendoza,Piedra Negra,Red,,,13.5,750
"Chablis ""La Sereine""",Wine,34.99,,France,Burgundy,Chablis,White,,,13,750
Barolo DOCG Patres,Wine,36.95,,Italy,Piedmont,Barolo,Red,,,14.5,750
Cloudy Bay Sauvignon Blanc 2024,Wine,42,,New Zealand,Marlborough,Cloudy Bay,White,,,13,750
Labastide Dauzac Margaux 2021,Wine,43.9,,France,Bordeaux,Château Labastide Dauzac,Red,,,13.5,750
Château Lilian Ladouys Saint-Estèphe 2019,Wine,42.5,,France,Bordeaux,Château Lilian Ladouys,Red,,,13.5,750
Frank Phélan Saint-Estèphe 2018,Wine,49.5,,France,Bordeaux,Château Phélan Ségur,Red,,,13.5,750
Margaux de Brane 2019,Wine,48.5,,France,Bordeaux,Château Brane-Cantenac,Red,,,13.5,750
Sequoia Grove Chardonnay 2021,Wine,52,,USA,Napa Valley,Sequoia Grove,White,,,14,750
Cloudy Bay Chardonnay 2022,Wine,52.95,,New Zealand,Marlborough,Cloudy Bay,White,,,13,750
Cloudy Bay Pinot Noir 2022,Wine,55,,New Zealand,Marlborough,Cloudy Bay,Red,,,13.5,750
Sequoia Grove Cabernet Sauvignon Napa Valley 2020,Wine,85,,USA,Napa Valley,Sequoia Grove,Red,,,14.5,750
Brunello di Montalcino Banfi 2019,Wine,54.95,,Italy,Tuscany,Castello Banfi,Red,,,14.5,750
Duvel Discovery Box,Beer,10.5,,Belgium,,Duvel,,,IPA,9,660
